schema,table,column,type,length_or_precision,nullable,default_value
bronze,binance_crypto_ohlcv,id,bigint,64,NO,nextval('bronze.binance_crypto_ohlcv_id_seq'::regclass)
bronze,binance_crypto_ohlcv,ticker,character varying,50,NO,
bronze,binance_crypto_ohlcv,interval,character varying,10,NO,
bronze,binance_crypto_ohlcv,timestamp,timestamp without time zone,"",NO,
bronze,binance_crypto_ohlcv,open,numeric,18,YES,
bronze,binance_crypto_ohlcv,high,numeric,18,YES,
bronze,binance_crypto_ohlcv,low,numeric,18,YES,
bronze,binance_crypto_ohlcv,close,numeric,18,YES,
bronze,binance_crypto_ohlcv,volume,numeric,18,YES,
bronze,binance_crypto_ohlcv,quote_volume,numeric,24,YES,
bronze,binance_crypto_ohlcv,trades_count,integer,32,YES,
bronze,binance_crypto_ohlcv,taker_buy_volume,numeric,18,YES,
bronze,binance_crypto_ohlcv,taker_buy_quote_volume,numeric,24,YES,
bronze,binance_crypto_ohlcv,raw_data,jsonb,"",YES,
bronze,binance_crypto_ohlcv,ingested_at,timestamp without time zone,"",YES,now()
bronze,binance_funding_rates,id,bigint,64,NO,nextval('bronze.binance_funding_rates_id_seq'::regclass)
bronze,binance_funding_rates,ticker,character varying,50,NO,
bronze,binance_funding_rates,funding_time,timestamp without time zone,"",NO,
bronze,binance_funding_rates,funding_rate,numeric,18,YES,
bronze,binance_funding_rates,mark_price,numeric,18,YES,
bronze,binance_funding_rates,raw_data,jsonb,"",YES,
bronze,binance_funding_rates,ingested_at,timestamp without time zone,"",YES,now()
bronze,data_quality_log,id,bigint,64,NO,nextval('bronze.data_quality_log_id_seq'::regclass)
bronze,data_quality_log,source_table,character varying,100,NO,
bronze,data_quality_log,ticker,character varying,50,YES,
bronze,data_quality_log,record_date,date,"",YES,
bronze,data_quality_log,issue_type,character varying,50,NO,
bronze,data_quality_log,details,text,"",YES,
bronze,data_quality_log,raw_data,jsonb,"",YES,
bronze,data_quality_log,logged_at,timestamp with time zone,"",YES,now()
bronze,earnings_calendar,id,integer,32,NO,nextval('bronze.earnings_calendar_id_seq'::regclass)
bronze,earnings_calendar,ticker,character varying,20,NO,
bronze,earnings_calendar,earnings_date,date,"",NO,
bronze,earnings_calendar,fiscal_quarter,character varying,10,YES,
bronze,earnings_calendar,fiscal_year,integer,32,YES,
bronze,earnings_calendar,eps_estimate,double precision,53,YES,
bronze,earnings_calendar,revenue_estimate,double precision,53,YES,
bronze,earnings_calendar,eps_actual,double precision,53,YES,
bronze,earnings_calendar,revenue_actual,double precision,53,YES,
bronze,earnings_calendar,eps_surprise,double precision,53,YES,
bronze,earnings_calendar,eps_surprise_pct,double precision,53,YES,
bronze,earnings_calendar,revenue_surprise,double precision,53,YES,
bronze,earnings_calendar,price_pre_earnings,double precision,53,YES,
bronze,earnings_calendar,price_post_earnings,double precision,53,YES,
bronze,earnings_calendar,earnings_return,double precision,53,YES,
bronze,earnings_calendar,source,character varying,50,YES,'yfinance'::character varying
bronze,earnings_calendar,reported_at,timestamp without time zone,"",YES,
bronze,earnings_calendar,created_at,timestamp without time zone,"",YES,now()
bronze,earnings_calendar,updated_at,timestamp without time zone,"",YES,now()
bronze,fmp_institutional_holdings,id,bigint,64,NO,nextval('bronze.fmp_institutional_holdings_id_seq'::regclass)
bronze,fmp_institutional_holdings,ticker,character varying,50,NO,
bronze,fmp_institutional_holdings,holder_name,character varying,200,NO,
bronze,fmp_institutional_holdings,shares,bigint,64,YES,
bronze,fmp_institutional_holdings,shares_change,bigint,64,YES,
bronze,fmp_institutional_holdings,pct_out,numeric,5,YES,
bronze,fmp_institutional_holdings,pct_held,numeric,5,YES,
bronze,fmp_institutional_holdings,value,bigint,64,YES,
bronze,fmp_institutional_holdings,report_date,date,"",YES,
bronze,fmp_institutional_holdings,raw_data,jsonb,"",YES,
bronze,fmp_institutional_holdings,ingested_at,timestamp without time zone,"",YES,now()
bronze,fred_macro_indicators,series_id,character varying,"",NO,
bronze,fred_macro_indicators,indicator_name,character varying,"",YES,
bronze,fred_macro_indicators,units,character varying,"",YES,
bronze,fred_macro_indicators,frequency,character varying,"",YES,
bronze,fred_macro_indicators,date,date,"",NO,
bronze,fred_macro_indicators,value,numeric,"",YES,
bronze,fred_macro_indicators,created_at,timestamp with time zone,"",YES,now()
bronze,fx_prices,id,integer,32,NO,nextval('bronze.fx_prices_id_seq'::regclass)
bronze,fx_prices,pair,character varying,10,NO,
bronze,fx_prices,timestamp,timestamp with time zone,"",NO,
bronze,fx_prices,open,numeric,15,YES,
bronze,fx_prices,high,numeric,15,YES,
bronze,fx_prices,low,numeric,15,YES,
bronze,fx_prices,close,numeric,15,YES,
bronze,fx_prices,volume,bigint,64,YES,
bronze,fx_prices,source,character varying,20,YES,
bronze,fx_prices,created_at,timestamp without time zone,"",YES,now()
bronze,hkex_ipo_calendar_raw,id,integer,32,NO,nextval('bronze.hkex_ipo_calendar_raw_id_seq'::regclass)
bronze,hkex_ipo_calendar_raw,ticker,character varying,20,NO,
bronze,hkex_ipo_calendar_raw,stock_name,character varying,200,YES,
bronze,hkex_ipo_calendar_raw,listing_date,date,"",NO,
bronze,hkex_ipo_calendar_raw,offer_price,numeric,18,YES,
bronze,hkex_ipo_calendar_raw,market_cap_hkd,numeric,18,YES,
bronze,hkex_ipo_calendar_raw,sector,character varying,100,YES,
bronze,hkex_ipo_calendar_raw,sub_sector,character varying,100,YES,
bronze,hkex_ipo_calendar_raw,sponsor,character varying,200,YES,
bronze,hkex_ipo_calendar_raw,shares_offered,bigint,64,YES,
bronze,hkex_ipo_calendar_raw,scraped_at,timestamp with time zone,"",YES,now()
bronze,ibkr_account_summary,account,character varying,50,NO,
bronze,ibkr_account_summary,net_liquidation,numeric,20,YES,
bronze,ibkr_account_summary,cash_hkd,numeric,20,YES,
